ticker,n_months,mean_pred_return,mean_actual_return,mae,rmse,directional_accuracy,pred_actual_corr,avg_pred_rank,avg_actual_rank,avg_rank_error,topk_hits,pred_topk_count,actual_topk_count
RIO.L,10,0.0045210814055179705,0.009936532921077951,0.0410504059105343,0.047493447463099185,0.4,-0.08903392950883464,59.9,47.0,31.9,0,0,2
NXT.L,11,0.004546382056989845,0.031041279455607973,0.05218086837677003,0.06846105874771079,0.5454545454545454,0.03958743051607416,50.27272727272727,44.63636363636363,32.0,0,0,3
HLN.L,11,0.0035277525440057093,0.001576866351693291,0.050976963057281055,0.060540875775070745,0.5454545454545454,-0.05216558743794124,66.81818181818181,49.0,32.18181818181818,0,0,2
GSK.L,11,0.0045778292562678275,0.025573196302559255,0.03728400180608869,0.05390430863303689,0.8181818181818182,-0.248381122887756,55.81818181818182,39.09090909090909,33.09090909090909,0,0,2
CCH.L,11,0.004679190382268863,0.03172396127493818,0.059480615191369386,0.07883568835404775,0.5454545454545454,-0.20783782277124144,49.54545454545455,46.45454545454545,33.27272727272727,1,1,4
SMT.L,11,0.005239507194564154,0.010151092061720844,0.05882046564851622,0.0667794974595584,0.6363636363636364,0.30679550781035564,54.54545454545455,46.09090909090909,33.36363636363637,0,0,2
MNDI.L,11,0.005203226442395446,-0.026753504385839153,0.05449998799972391,0.0760001176511184,0.2727272727272727,0.04662324379945416,46.90909090909091,56.90909090909091,33.45454545454545,0,3,0
AV.L,11,0.004337995081018054,0.027236259315895628,0.03368499214887478,0.04143319889307483,0.8181818181818182,0.28123638752040636,66.81818181818181,37.63636363636363,33.54545454545455,0,0,1
IMI.L,11,0.0045876004122178,0.021128661599503006,0.04163169541612554,0.05256066656287991,0.7272727272727273,0.5867810670827869,67.54545454545455,39.81818181818182,33.54545454545455,0,0,2
REL.L,11,0.004795542151843301,-0.023599313600716963,0.043510054300357766,0.05853403455491387,0.36363636363636365,0.06319663643890075,51.81818181818182,64.36363636363636,33.63636363636363,0,2,0
BEZ.L,11,0.00508533214701489,0.004291195357941579,0.06960613822670376,0.08324930073082337,0.5454545454545454,0.5097208244971672,55.45454545454545,49.63636363636363,33.63636363636363,1,1,3
AAL.L,11,0.008156482616147882,0.0276685275739797,0.058553605448215314,0.08092281720450645,0.45454545454545453,0.16693685791926208,18.90909090909091,43.54545454545455,34.09090909090909,1,7,3
PRU.L,11,0.004536495942632154,0.05026279281545684,0.05399926217880291,0.06236949598817694,0.9090909090909091,-0.17520359794636622,57.18181818181818,29.09090909090909,34.63636363636363,0,0,4
RTO.L,11,0.006547189945715445,0.012189858842135274,0.048301111535200565,0.06417857101577448,0.5454545454545454,-0.360441493432132,27.454545454545453,45.72727272727273,34.63636363636363,0,4,3
EZJ.L,11,0.005901709615734046,0.003106968298898834,0.06676738076797084,0.08217991231419555,0.45454545454545453,-0.03764245741826317,35.09090909090909,50.90909090909091,34.72727272727273,0,3,2
SPX.L,11,0.007872886224906308,-0.01159003815623681,0.07186070086225131,0.08372315480544928,0.45454545454545453,-0.0008777195697650943,37.27272727272727,57.63636363636363,34.72727272727273,0,4,1
AUTO.L,11,0.003600194676388073,-0.023903830462669973,0.06078581688468743,0.07926848278786938,0.18181818181818182,-0.334479167216265,53.54545454545455,63.36363636363637,34.90909090909091,0,1,1
BLND.L,11,0.004747829892686028,0.007033460299035546,0.04630677869599115,0.05184775932099443,0.45454545454545453,-0.2905149695108845,54.45454545454545,52.0,35.0,0,0,2
EDV.L,11,0.010894752513753762,0.08504870971332286,0.09348062388063832,0.11132809945630197,0.6363636363636364,-0.00802094894783239,24.09090909090909,28.636363636363637,35.09090909090909,4,7,7
MKS.L,11,0.005195955328205854,-8.904166161789109e-05,0.05521362476918265,0.0656715115934277,0.45454545454545453,0.11080814843654391,45.36363636363637,51.0,36.0,1,1,2
MNG.L,11,0.0042924606549320085,0.031224531933428223,0.04789022860886615,0.059416740058226294,0.8181818181818182,0.3261258466045102,65.45454545454545,36.27272727272727,36.27272727272727,0,0,3
SSE.L,11,0.005481542281660927,0.029109617567819986,0.05124610022002623,0.06477119759190562,0.7272727272727273,-0.09904390896166619,52.27272727272727,43.27272727272727,36.27272727272727,1,2,3
GAW.L,11,0.005540249567422182,0.027078687752990035,0.06135178692007553,0.08328628384661234,0.45454545454545453,-0.26016141680391963,38.72727272727273,48.18181818181818,36.72727272727273,0,2,4
WTB.L,11,0.005640911044573791,-0.005646084579829406,0.06618958037186323,0.07810563374269361,0.5454545454545454,-0.08624039281804524,47.09090909090909,51.36363636363637,37.0,0,3,3
BKG.L,11,0.005097621861214391,0.0034451697588567753,0.058693372072356274,0.07158400199871837,0.45454545454545453,-0.2522059211701203,46.36363636363637,52.09090909090909,37.36363636363637,0,2,1
CRDA.L,7,0.0086797378170921,-0.013158342445142154,0.057466038870309454,0.0639609190761792,0.42857142857142855,0.7080394289482819,20.571428571428573,58.42857142857143,37.857142857142854,1,3,1
INF.L,11,0.005283285463137409,0.0040462798680447895,0.04881920387304078,0.05831038600787671,0.5454545454545454,0.27992199816756436,61.27272727272727,47.09090909090909,38.0,0,1,0
IHG.L,11,0.006450555699724791,0.0004500145258004176,0.05459215656334833,0.07095241751847883,0.6363636363636364,0.1383974639894783,39.90909090909091,50.27272727272727,38.72727272727273,0,2,1
BATS.L,11,0.004301245370558737,0.027181285365068596,0.05404688398841004,0.07072340360427082,0.6363636363636364,-0.10000457998906515,60.63636363636363,44.0,39.36363636363637,0,0,4
BT-A.L,11,0.004973247896067455,0.025714839701126948,0.0546541027035476,0.06534745349433928,0.7272727272727273,-0.12513826880482976,50.54545454545455,39.90909090909091,40.27272727272727,1,2,4
AZN.L,11,0.004426685953719472,0.02003967341993539,0.0629963097716217,0.07225934178291382,0.45454545454545453,-0.28865793908129267,64.0,45.81818181818182,40.54545454545455,0,0,5
ENT.L,11,0.013576085359980044,0.015715377402786876,0.10657443441607482,0.1274367672825309,0.45454545454545453,0.21847955088207086,7.636363636363637,46.27272727272727,41.18181818181818,5,11,5
RMV.L,11,0.006264643051689182,-0.020472613990252655,0.05989947234560646,0.07768907310127456,0.6363636363636364,-0.30514296135843155,48.90909090909091,58.36363636363637,43.09090909090909,0,3,1
BAB.L,11,0.012829446330386808,0.08741530330385276,0.137455266066707,0.1573836717616375,0.6363636363636364,-0.6347873142591365,20.727272727272727,32.27272727272727,43.72727272727273,5,9,7
JD.L,11,0.01825593677759368,0.0016717361389336708,0.09024468419964769,0.10409220367716204,0.45454545454545453,0.36398647333013634,5.818181818181818,50.09090909090909,44.27272727272727,4,11,4
BRBY.L,11,0.020361057697987094,0.02090164751572856,0.1342051076352325,0.17131968542363488,0.45454545454545453,0.3258598376254607,4.545454545454546,49.09090909090909,45.81818181818182,4,11,4
BNZL.L,11,0.011760465630167445,-0.04153129287820533,0.0714906182822409,0.09006907034217952,0.18181818181818182,0.34790778258439065,19.272727272727273,70.9090909090909,52.54545454545455,1,6,1
