date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-04-30,RTO.L,0.0262697355076064,0.0109584400280853,20,63,43,False,False,False,-0.0153112954795211
2025-04-30,SMT.L,0.0942431781749904,0.0107379301792394,21,23,2,False,False,False,-0.08350524799575099
2025-04-30,SDR.L,0.0822167838578011,0.0106499750767577,22,27,5,False,False,False,-0.07156680878104339
2025-04-30,EDV.L,0.1170635371332855,0.009008995727841,23,15,8,False,True,False,-0.1080545414054445
2025-04-30,ITRK.L,0.0442891354439987,0.0088686254838586,24,51,27,False,False,False,-0.035420509960140095
2025-04-30,BA.L,0.0962814043188915,0.0088429976574737,25,22,3,False,False,False,-0.08743840666141779
2025-04-30,HSBA.L,0.0496109439243381,0.0087610352275816,26,45,19,False,False,False,-0.0408499086967565
2025-04-30,DPLM.L,0.182781873084376,0.0085916255595279,27,3,24,False,True,False,-0.1741902475248481
2025-04-30,SHEL.L,0.0037933954987849,0.008266112057171,28,71,43,False,False,False,0.004472716558386099
2025-04-30,DCC.L,-0.0508878911733566,0.0079610134212215,29,91,62,False,False,False,0.058848904594578096
2025-04-30,IMI.L,0.1244344481900481,0.0079012598556307,30,13,17,False,True,False,-0.1165331883344174
2025-04-30,AZN.L,-0.0007458404056308,0.0078504033735575,31,72,41,False,False,False,0.0085962437791883
2025-04-30,AAF.L,0.0297376645937079,0.0078320662199759,32,58,26,False,False,False,-0.021905598373732
2025-04-30,SMIN.L,0.155579405255636,0.0075667134188435,33,8,25,False,True,False,-0.1480126918367925
2025-04-30,HIK.L,0.0780856168987897,0.0074387261574336,34,31,3,False,False,False,-0.0706468907413561
2025-04-30,WEIR.L,0.0791815540888465,0.0072758398651164,35,30,5,False,False,False,-0.0719057142237301
2025-04-30,EXPN.L,-0.0059219760382809,0.0070358652329464,36,74,38,False,False,False,0.012957841271227299
2025-04-30,MNDI.L,0.0639894707132393,0.0069452760535672,37,40,3,False,False,False,-0.057044194659672094
2025-04-30,FCIT.L,0.0474345768282036,0.0068825968828257,38,47,9,False,False,False,-0.0405519799453779
2025-04-30,HSX.L,0.1474067844375852,0.0068233398902493,39,10,29,False,True,False,-0.1405834445473359
2025-04-30,PSON.L,-0.0263268885512906,0.0068131755034211,40,83,43,False,False,False,0.0331400640547117
2025-04-30,GAW.L,-0.0051914058751287,0.0066723478518392,41,73,32,False,False,False,0.0118637537269679
2025-04-30,CTEC.L,0.1154734877719458,0.0066693464247908,42,17,25,False,True,False,-0.10880414134715499
2025-04-30,ALW.L,0.0457560055937542,0.0064294304643498,43,50,7,False,False,False,-0.0393265751294044
2025-04-30,RKT.L,0.0400991283902467,0.0063190603909147,44,54,10,False,False,False,-0.033780067999332
2025-04-30,MNG.L,0.1412729109458861,0.0063051823229054,45,11,34,False,True,False,-0.1349677286229807
2025-04-30,GSK.L,0.0159603826698619,0.0060977643362255,46,65,19,False,False,False,-0.0098626183336364
2025-04-30,PRU.L,0.0669361586376271,0.0058655928972141,47,38,9,False,False,False,-0.061070565740413
2025-04-30,RIO.L,-0.0101191799142194,0.005724203657458,48,77,29,False,False,False,0.015843383571677402
2025-04-30,LSEG.L,-0.0301074786438949,0.0056572692535507,49,85,36,False,False,False,0.035764747897445597
2025-04-30,BEZ.L,0.0667043554337387,0.005644494070361,50,39,11,False,False,False,-0.0610598613633777
2025-04-30,III.L,-0.0382617323733097,0.0055901198589487,51,90,39,False,False,False,0.043851852232258404
2025-04-30,CPG.L,0.0345512885599919,0.0055740980026458,52,56,4,False,False,False,-0.0289771905573461
2025-04-30,HLMA.L,0.0544266936693424,0.0055301819526976,53,43,10,False,False,False,-0.0488965117166448
2025-04-30,HWDN.L,0.1189857353958923,0.0055115720897017,54,14,40,False,True,False,-0.1134741633061906
2025-04-30,TSCO.L,0.0469371786797914,0.0054278569474097,55,48,7,False,False,False,-0.0415093217323817
2025-04-30,LGEN.L,0.0605543280933815,0.0053663812565195,56,42,14,False,False,False,-0.055187946836862
2025-04-30,NWG.L,0.0970304929953889,0.0052692101920337,57,21,36,False,False,False,-0.0917612828033552
