date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom,model
2025-06-30,94,18,18,0.03426467722382856,0.02073377715606135,0.025640894619113678,0.01353090006776721,-0.004907117463052328,0.008623782604714882,1.0,0.0,1.0,XGBoost daily
2025-07-31,94,18,18,0.025350737341025605,-0.002252414971261099,-0.0005992329811003892,0.027603152312286702,-0.0016531819901607096,0.025949970322125995,1.0,0.0,1.0,XGBoost daily
2025-08-31,94,18,18,0.0635337761123248,0.02989829045210979,0.021351720869878747,0.033635485660215014,0.008546569582231045,0.04218205524244606,1.0,1.0,1.0,XGBoost daily
2025-09-30,94,18,18,0.01308541708081503,0.03047668761445391,0.030761825318947986,-0.01739127053363888,-0.00028513770449407547,-0.017676408238132955,0.0,0.0,0.0,XGBoost daily
2025-10-31,94,18,18,-0.014117180218235104,-0.00937474993225016,-0.03601087506005761,-0.004742430285984943,0.02663612512780745,0.021893694841822506,0.0,1.0,1.0,XGBoost daily
2025-11-30,91,18,18,0.041309503560297375,0.022418505095901535,0.030792934835062735,0.01889099846439584,-0.0083744297391612,0.01051656872523464,1.0,0.0,1.0,XGBoost daily
2025-01-31,93,18,18,0.015683544145835462,0.00746467163062019,-0.02983709759459141,0.008218872515215272,0.0373017692252116,0.04552064174042687,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-02-28,93,18,18,-0.05920996778845325,-0.03238264672780464,-0.029043525719713345,-0.026827321060648612,-0.003339121008091292,-0.030166442068739904,0.0,0.0,0.0,XGBoost daily_ohlcv
2025-03-31,92,18,18,0.04081437639793947,0.023078520015776535,0.020107776614660736,0.017735856382162938,0.002970743401115798,0.020706599783278736,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-04-30,92,18,18,0.07576312013693105,0.05700199914886116,0.06025000704804542,0.018761120988069896,-0.003248007899184266,0.01551311308888563,1.0,0.0,1.0,XGBoost daily_ohlcv
2025-05-31,93,18,18,0.06145794670716612,0.0149968428080082,0.01778596150876405,0.04646110389915792,-0.002789118700755851,0.04367198519840207,1.0,0.0,1.0,XGBoost daily_ohlcv
2025-06-30,94,18,18,0.016762547744786346,0.020733771083650085,0.01824254445871468,-0.003971223338863739,0.0024912266249354047,-0.001479996713928334,0.0,1.0,0.0,XGBoost daily_ohlcv
2025-07-31,94,18,18,0.0152209460847158,-0.0022524091667620216,-0.019302521242553737,0.01747335525147782,0.017050112075791716,0.03452346732726953,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-08-31,94,18,18,0.0756356576384119,0.029898289320032644,0.009691094060837844,0.045737368318379254,0.020207195259194802,0.06594456357757406,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-09-30,94,18,18,0.01810454498967057,0.030476688454233725,0.03064617656509904,-0.012372143464563154,-0.00016948811086531582,-0.01254163157542847,0.0,0.0,0.0,XGBoost daily_ohlcv
2025-10-31,94,18,18,0.0013392803643754482,-0.009374750649834998,-0.037235886232225276,0.010714031014210446,0.027861135582390277,0.03857516659660072,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-11-30,91,18,18,0.04151240608524423,0.022418505095901535,0.018995849609830487,0.019093900989342695,0.003422655486071048,0.022516556475413743,1.0,1.0,1.0,XGBoost daily_ohlcv
2025-01-31,93,18,18,0.015884156735254805,0.007464659223213297,0.013465066801345802,0.008419497512041508,-0.006000407578132505,0.0024190899339090032,1.0,0.0,1.0,MLP daily
2025-02-28,93,18,18,-0.04564338196440549,-0.03238264198687845,-0.02362381394603161,-0.013260739977527039,-0.00875882804084684,-0.02201956801837388,0.0,0.0,0.0,MLP daily
2025-03-31,92,18,18,0.022756362101643533,0.023078523358766197,0.013329406787218867,-0.0003221612571226648,0.00974911657154733,0.009426955314424666,0.0,1.0,1.0,MLP daily
2025-04-30,92,18,18,0.11096639374601909,0.05700199991802513,0.052447644501558685,0.05396439382799396,0.004554355416466448,0.058518749244460405,1.0,1.0,1.0,MLP daily
2025-05-31,93,18,18,0.04582667169436077,0.014996840700512023,-0.005982062603937211,0.03082983099384875,0.020978903304449233,0.05180873429829798,1.0,1.0,1.0,MLP daily
2025-06-30,94,18,18,0.0069507009354998605,0.02073377715606135,0.026771985910352243,-0.01378307622056149,-0.006038208754290893,-0.01982128497485238,0.0,0.0,0.0,MLP daily
2025-07-31,94,18,18,0.02371039388187435,-0.002252414971261099,-0.009050700332408651,0.025962808853135448,0.006798285361147552,0.032761094214283,1.0,1.0,1.0,MLP daily
2025-08-31,94,18,18,0.08332460412030035,0.02989829045210979,0.020119566680045213,0.05342631366819056,0.009778723772064579,0.06320503744025513,1.0,1.0,1.0,MLP daily
2025-09-30,94,18,18,0.009801003169908744,0.03047668761445391,0.05610462114132633,-0.020675684444545164,-0.025627933526872423,-0.04630361797141759,0.0,0.0,0.0,MLP daily
2025-10-31,94,18,18,-0.004742560264802696,-0.00937474993225016,-0.007083821947572549,0.004632189667447465,-0.002290927984677612,0.0023412616827698527,1.0,0.0,1.0,MLP daily
2025-11-30,91,18,18,0.054865701165046715,0.022418505095901535,0.009852718199193202,0.03244719606914518,0.012565786896708333,0.045012982965853515,1.0,1.0,1.0,MLP daily
2025-01-31,93,18,18,-0.011614441659883429,0.00746467163062019,-0.005166592791951209,-0.01907911329050362,0.012631264422571398,-0.00644784886793222,0.0,1.0,0.0,MLP daily_ohlcv
2025-02-28,93,18,18,-0.06633823903607788,-0.03238264672780464,-0.006780485020398576,-0.03395559230827325,-0.025602161707406063,-0.05955775401567931,0.0,0.0,0.0,MLP daily_ohlcv
2025-03-31,92,18,18,0.0016902908497283611,0.023078520015776535,0.01496588408159257,-0.021388229166048173,0.008112635934183965,-0.013275593231864209,0.0,1.0,0.0,MLP daily_ohlcv
2025-04-30,92,18,18,0.10043645329086598,0.05700199914886116,0.04568170914043933,0.04343445414200482,0.01132029000842183,0.05475474415042665,1.0,1.0,1.0,MLP daily_ohlcv
2025-05-31,93,18,18,0.0455549943035842,0.0149968428080082,0.009354836914370739,0.030558151495576003,0.005642005893637461,0.036200157389213464,1.0,1.0,1.0,MLP daily_ohlcv
2025-06-30,94,18,18,-0.005995278924831817,0.020733771083650085,0.03314697055906009,-0.0267290500084819,-0.012413199475410003,-0.0391422494838919,0.0,0.0,0.0,MLP daily_ohlcv
2025-07-31,94,18,18,0.018576264776822646,-0.0022524091667620216,0.016866628795487337,0.020828673943584668,-0.01911903796224936,0.0017096359813353092,1.0,0.0,1.0,MLP daily_ohlcv
2025-08-31,94,18,18,0.04838080274673176,0.029898289320032644,0.027167163343468113,0.018482513426699116,0.0027311259765645315,0.021213639403263648,1.0,1.0,1.0,MLP daily_ohlcv
2025-09-30,94,18,18,0.012293381531383407,0.030476688454233725,0.05009403895410988,-0.01818330692285032,-0.019617350499876157,-0.03780065742272647,0.0,0.0,0.0,MLP daily_ohlcv
2025-10-31,94,18,18,-0.0061546620827851,-0.009374750649834998,-0.0038694868134333824,0.0032200885670498978,-0.005505263836401615,-0.0022851752693517175,1.0,0.0,0.0,MLP daily_ohlcv
2025-11-30,91,18,18,0.03625449435415679,0.022418505095901535,0.02485955854755422,0.013835989258255257,-0.002441053451652686,0.011394935806602571,1.0,0.0,1.0,MLP daily_ohlcv
2025-01-31,92,18,18,0.027194395713094198,0.00732919488750075,0.01333987221328749,0.019865200825593447,-0.0060106773257867395,0.013854523499806709,1.0,0.0,1.0,LSTM
2025-02-28,92,18,18,-0.041267532596571566,-0.0334010133405884,-0.02980359788570136,-0.007866519255983168,-0.0035974154548870374,-0.011463934710870205,0.0,0.0,0.0,LSTM
2025-03-31,92,18,18,0.02818532989153429,0.02435903222699972,0.0012392432221935983,0.003826297664534569,0.023119789004806122,0.02694608666934069,1.0,1.0,1.0,LSTM
2025-04-30,92,18,18,0.06213420893376071,0.0553194107449836,0.058595864153984496,0.006814798188777109,-0.0032764534090008943,0.0035383447797762146,1.0,0.0,1.0,LSTM
2025-05-31,90,18,18,0.01369923091907467,0.01587427999022313,0.0037755313290593565,-0.0021750490711484605,0.012098748661163774,0.009923699590015314,0.0,1.0,1.0,LSTM
2025-06-30,91,18,18,0.0106453862455156,0.022522740742795477,0.0037122267692918953,-0.011877354497279877,0.01881051397350358,0.006933159476223706,0.0,1.0,1.0,LSTM
2025-07-31,91,18,18,-0.0004640859616402937,-0.001536174165596667,-0.010254338280194333,0.0010720882039563732,0.008718164114597665,0.00979025231855404,1.0,1.0,1.0,LSTM
2025-08-31,91,18,18,0.028489555963056374,0.029669982320398778,0.03808112202871898,-0.001180426357342404,-0.008411139708320203,-0.009591566065662607,0.0,0.0,0.0,LSTM
2025-09-30,93,18,18,0.03197707851520839,0.02975470921486584,0.018292014828249287,0.002222369300342548,0.011462694386616554,0.013685063686959101,1.0,1.0,1.0,LSTM
2025-10-31,93,18,18,0.005934891158378596,-0.010293075968185935,0.02317468299426965,0.016227967126564533,-0.03346775896245559,-0.017239791835891055,1.0,0.0,0.0,LSTM
2025-11-30,93,18,18,0.01709359150845559,0.020657136690207016,0.022246180651968143,-0.0035635451817514277,-0.0015890439617611274,-0.005152589143512555,0.0,0.0,0.0,LSTM
