date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true,model
2025-09-30,DPLM.L,0,0,0,0,0.0043285586917935,0.0574929879359642,Ridge daily_ohlcv
2025-09-30,EDV.L,1,0,0,0,0.0185513364732078,-0.0083871084117078,Ridge daily_ohlcv
2025-09-30,ENT.L,1,0,0,1,0.0292218686283321,-0.0931562974341152,Ridge daily_ohlcv
2025-09-30,EXPN.L,0,0,0,1,0.0101239325878661,-0.0470177359091332,Ridge daily_ohlcv
2025-09-30,EZJ.L,1,0,0,0,0.0136048402702745,0.0441810398705917,Ridge daily_ohlcv
2025-09-30,FCIT.L,0,0,1,0,-0.0065276906428837,0.0282950003790354,Ridge daily_ohlcv
2025-09-30,FRES.L,1,0,0,1,0.0483302912907636,-0.0584745762711869,Ridge daily_ohlcv
2025-09-30,GAW.L,0,1,0,0,0.0123673864094673,0.0964161433004895,Ridge daily_ohlcv
2025-09-30,GSK.L,0,1,1,0,-0.0033573958141531,0.1308351920278834,Ridge daily_ohlcv
2025-09-30,HIK.L,0,1,0,0,0.0107283643907618,0.0830389030566374,Ridge daily_ohlcv
2025-09-30,HLMA.L,0,0,0,0,0.0084913541939858,0.0278260725569061,Ridge daily_ohlcv
2025-09-30,HLN.L,0,0,0,0,0.0086378738276325,0.0652827745521218,Ridge daily_ohlcv
2025-09-30,HSBA.L,0,0,0,0,0.0013578593384689,0.0176077632624722,Ridge daily_ohlcv
2025-09-30,HSX.L,0,0,0,0,0.0016967556555807,0.0043827611395179,Ridge daily_ohlcv
2025-09-30,HWDN.L,0,0,0,0,0.0061386051142541,0.0237732036215274,Ridge daily_ohlcv
2025-09-30,ICG.L,0,0,0,1,0.0084117714945278,-0.1325247607727405,Ridge daily_ohlcv
2025-09-30,IHG.L,1,0,0,0,0.013779668446928,0.0242924165883098,Ridge daily_ohlcv
2025-09-30,III.L,0,0,0,0,0.0106490722805014,0.0760576735898377,Ridge daily_ohlcv
2025-09-30,IMB.L,0,0,1,1,-0.0002895145793314,-0.0421152441170703,Ridge daily_ohlcv
2025-09-30,IMI.L,0,0,1,0,-0.0036366975781751,0.0446195187270583,Ridge daily_ohlcv
2025-09-30,INF.L,0,0,0,0,0.0011417246844833,0.0547079484989911,Ridge daily_ohlcv
2025-09-30,ITRK.L,0,0,0,0,0.0053389417014039,0.0726387124099956,Ridge daily_ohlcv
2025-09-30,JD.L,1,0,0,1,0.0381081169870823,-0.0222127698888688,Ridge daily_ohlcv
2025-09-30,KGF.L,0,0,0,0,0.0053412870209425,0.0004517416077549,Ridge daily_ohlcv
2025-09-30,LAND.L,0,0,0,0,0.0088609445725713,0.0678694952966316,Ridge daily_ohlcv
2025-09-30,LGEN.L,0,0,0,0,0.001191025083068,-0.0008403233119421,Ridge daily_ohlcv
2025-09-30,LLOY.L,0,0,1,0,0.0003293412132913,0.0627535428859964,Ridge daily_ohlcv
2025-09-30,LMP.L,0,0,0,0,0.001923687975475,0.0456294828396246,Ridge daily_ohlcv
2025-09-30,LSEG.L,0,1,0,0,0.0110266886535411,0.1139031950889355,Ridge daily_ohlcv
2025-09-30,MKS.L,0,1,1,0,-0.0048615736682621,0.0913579078864526,Ridge daily_ohlcv
2025-09-30,MNDI.L,0,0,0,1,0.0096420339546189,-0.1697265277131024,Ridge daily_ohlcv
2025-09-30,MNG.L,1,0,0,0,0.0150587177219769,0.040711435214578,Ridge daily_ohlcv
2025-09-30,MRO.L,0,0,0,0,0.0122041339159468,0.0275953081178292,Ridge daily_ohlcv
2025-09-30,NG.L,0,0,1,0,-0.0060467890441867,0.0679156922057118,Ridge daily_ohlcv
2025-09-30,NWG.L,0,1,0,0,0.0126149747696499,0.1196320048978607,Ridge daily_ohlcv
2025-09-30,NXT.L,0,1,0,0,0.001139096210408,0.1555555783602429,Ridge daily_ohlcv
2025-09-30,PCT.L,0,1,0,0,0.0064654206938047,0.0891428571428571,Ridge daily_ohlcv
2025-09-30,PRU.L,0,0,0,0,0.0107061716461935,0.0134485926876002,Ridge daily_ohlcv
2025-09-30,PSH.L,0,0,1,0,-0.0025325157301926,0.0446467966230081,Ridge daily_ohlcv
2025-09-30,PSN.L,1,0,0,0,0.0150195034503811,0.0433163463036543,Ridge daily_ohlcv
2025-09-30,PSON.L,0,0,0,0,0.0079120568062198,0.0033128271715854,Ridge daily_ohlcv
2025-09-30,REL.L,0,0,0,1,0.0029362041661127,-0.0562271577171772,Ridge daily_ohlcv
2025-09-30,RIO.L,0,1,0,0,0.00358995541788,0.1052281731541331,Ridge daily_ohlcv
2025-09-30,RKT.L,0,0,0,0,0.0015128825342791,0.0171389389586131,Ridge daily_ohlcv
2025-09-30,RMV.L,0,0,0,1,0.0059850465968963,-0.0572960442912314,Ridge daily_ohlcv
2025-09-30,RR.L,1,0,0,1,0.0190071574227805,-0.0407211051960052,Ridge daily_ohlcv
2025-09-30,RTO.L,0,1,1,0,-0.0005724684043634,0.1221394902691921,Ridge daily_ohlcv
2025-09-30,SBRY.L,0,0,0,0,0.0067491847288013,0.0227545421421617,Ridge daily_ohlcv
2025-09-30,SDLF.L,0,0,0,0,0.0116094104651368,0.0473969714595312,Ridge daily_ohlcv
2025-09-30,SDR.L,0,0,0,0,0.006498052904472,0.0090424958009325,Ridge daily_ohlcv
2025-09-30,SGE.L,0,0,0,0,0.0053759843863778,0.0449999950055495,Ridge daily_ohlcv
2025-09-30,SGRO.L,0,0,0,0,0.0077230209589846,0.0640829571776373,Ridge daily_ohlcv
2025-09-30,SHEL.L,0,0,0,0,0.0019641490653634,0.0759493974551839,Ridge daily_ohlcv
