trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09466937829808221,0.5184318314803978,-0.020805317148893644,0.22616959064327485,18
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09900590528774549,0.4965909090909091,-0.0642970375094138,0.2555555555555556,18
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.0854048862485702,0.49263038548752835,0.044228663837754915,0.275,18
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07296423809588051,0.5290102389078498,0.005194712084403179,0.2679824561403509,18
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06430082785863865,0.4729005360333532,,0.19005847953216373,18
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09374055713269643,0.5710942071386775,,0.1735380116959064,18
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09257046708576326,0.5596590909090909,-0.08923379950460765,0.1638888888888889,18
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08540622513132982,0.4886621315192744,,0.21666666666666667,18
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07208620587865476,0.5278725824800911,-0.016163590304848992,0.23157894736842102,18
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06429025856817554,0.4729005360333532,,0.19005847953216373,18
